web-scraper-order,web-scraper-start-url,name-link,name-link-href,name,rating,evals,price-food,name-food,colonia
1616630715-2587,https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkNpbWF0YXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUo3ZW5RNTlaRTA0VVJ2VGJNdDlERGtQSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41ODEwMjM5JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zOTEyMDEyJTdE,Subway (Panamericana),https://www.ubereats.com/queretaro/food-delivery/subway-panamericana/sUeiH1iUQ9mz-iQF_nvk2g,Subway (Panamericana),4.8,-86,MX$119.00,Pizza Sub 30 cm,cimatario
1616630658-2024,https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkNpbWF0YXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUo3ZW5RNTlaRTA0VVJ2VGJNdDlERGtQSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41ODEwMjM5JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zOTEyMDEyJTdE,Sushi Roll (Punta Victoria),https://www.ubereats.com/queretaro/food-delivery/sushi-roll-punta-victoria/XdM5hCg_RNaZurEb4laKXA,Sushi Roll (Punta Victoria),4.8,null,MX$108.00,Spicy Tori Maki Roll,cimatario
1616631002-4641,https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkNpbWF0YXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUo3ZW5RNTlaRTA0VVJ2VGJNdDlERGtQSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41ODEwMjM5JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zOTEyMDEyJTdE,Pizzería Alto Horno,https://www.ubereats.com/queretaro/food-delivery/pizzeria-alto-horno/FoDANpwWS5mRKAzqOKeKkA,Pizzería Alto Horno,null,-41,MX$150.00,Pizza Española,cimatario
1616631033-4872,https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkNpbWF0YXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUo3ZW5RNTlaRTA0VVJ2VGJNdDlERGtQSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41ODEwMjM5JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zOTEyMDEyJTdE,La piccola italia centro,https://www.ubereats.com/queretaro/food-delivery/la-piccola-italia-centro/oIskY05zT0OeM5zty5odsg,La piccola italia centro,4.5,-268,MX$180.00,Pizza Viuda Negra,cimatario
1616630570-1125,https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkNpbWF0YXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUo3ZW5RNTlaRTA0VVJ2VGJNdDlERGtQSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41ODEwMjM5JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zOTEyMDEyJTdE,York Pub (Queretaro),https://www.ubereats.com/queretaro/food-delivery/york-pub-queretaro/esDL00t_Sy-khjNQMAJBAQ,York Pub (Queretaro),null,null,MX$86.00,Pastel de chococlate,cimatario
1616630628-1583,https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkNpbWF0YXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUo3ZW5RNTlaRTA0VVJ2VGJNdDlERGtQSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41ODEwMjM5JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zOTEyMDEyJTdE,Taquería Chemao - Constituyentes,https://www.ubereats.com/queretaro/food-delivery/taqueria-chemao-constituyentes/N_SWpFAxSZ6IuuAyQyTn9A,Taquería Chemao - Constituyentes,4.5,-72,MX$139.00,Alambre de sirloin con queso premium,cimatario
1616630658-1872,https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkNpbWF0YXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUo3ZW5RNTlaRTA0VVJ2VGJNdDlERGtQSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41ODEwMjM5JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zOTEyMDEyJTdE,Sushi Roll (Punta Victoria),https://www.ubereats.com/queretaro/food-delivery/sushi-roll-punta-victoria/XdM5hCg_RNaZurEb4laKXA,Sushi Roll (Punta Victoria),4.8,null,MX$181.00,Bieber Beef Roll,cimatario
1616630860-3666,https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkNpbWF0YXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUo3ZW5RNTlaRTA0VVJ2VGJNdDlERGtQSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41ODEwMjM5JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zOTEyMDEyJTdE,Olive Garden Querétaro,https://www.ubereats.com/queretaro/food-delivery/olive-garden-queretaro/wzdHh3wDSC-zqOv8LqZ2jg,Olive Garden Querétaro,4.5,-178,MX$75.00,San Pellegrino 505 ml,cimatario
1616631002-4652,https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkNpbWF0YXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUo3ZW5RNTlaRTA0VVJ2VGJNdDlERGtQSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41ODEwMjM5JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zOTEyMDEyJTdE,Pizzería Alto Horno,https://www.ubereats.com/queretaro/food-delivery/pizzeria-alto-horno/FoDANpwWS5mRKAzqOKeKkA,Pizzería Alto Horno,null,-41,MX$135.00,Pizza Diablo,cimatario
1616630635-1629,https://www.ubereats.com/search?ps=1&q=pizza&pl=JTdCJTIyYWRkcmVzcyUyMiUzQSUyMkNpbWF0YXJpbyUyMiUyQyUyMnJlZmVyZW5jZSUyMiUzQSUyMkNoSUo3ZW5RNTlaRTA0VVJ2VGJNdDlERGtQSSUyMiUyQyUyMnJlZmVyZW5jZVR5cGUlMjIlM0ElMjJnb29nbGVfcGxhY2VzJTIyJTJDJTIybGF0aXR1ZGUlMjIlM0EyMC41ODEwMjM5JTJDJTIybG9uZ2l0dWRlJTIyJTNBLTEwMC4zOTEyMDEyJTdE,The Zone Bread and Coffee,https://www.ubereats.com/queretaro/food-delivery/the-zone-bread-and-coffee/kgDE55d_TTywEbnfVERUqA,The Zone Bread and Coffee,4.8,-26,MX$180.00,Srita. Mar,cimatario
